Threshold,Completeness,Succinctness,F-Score
0.253,0.9333333333333333,0.0,0.0
0.254,0.9333333333333333,0.0,0.0
0.255,0.9333333333333333,0.0,0.0
0.256,0.9333333333333333,0.0,0.0
0.257,0.9333333333333333,0.0,0.0
0.258,0.9333333333333333,0.0,0.0
0.259,0.9333333333333333,0.0,0.0
0.26,0.9333333333333333,0.0,0.0
0.261,0.9333333333333333,0.0,0.0
0.262,0.9333333333333333,0.0,0.0
0.263,0.9333333333333333,0.0,0.0
0.264,0.9333333333333333,0.0,0.0
0.265,0.9333333333333333,0.0,0.0
0.266,0.9333333333333333,0.0,0.0
0.267,0.9333333333333333,0.0,0.0
0.268,0.9333333333333333,0.0,0.0
0.269,0.9333333333333333,0.0,0.0
0.27,0.9333333333333333,0.0,0.0
0.271,0.9333333333333333,0.0,0.0
0.272,0.9333333333333333,0.0,0.0
0.273,0.9333333333333333,0.0,0.0
0.274,0.9333333333333333,0.0,0.0
0.275,0.9333333333333333,0.0,0.0
0.276,0.9333333333333333,0.0,0.0
0.277,0.9333333333333333,0.0,0.0
0.278,0.9333333333333333,0.0,0.0
0.279,0.9333333333333333,0.0,0.0
0.28,0.9333333333333333,0.0,0.0
0.281,0.9333333333333333,0.0,0.0
0.282,0.9333333333333333,0.0,0.0
0.283,0.9333333333333333,0.0,0.0
0.284,0.9333333333333333,0.0,0.0
0.285,0.9333333333333333,0.0,0.0
0.286,0.9333333333333333,0.0,0.0
0.287,0.9333333333333333,0.0,0.0
0.288,0.9333333333333333,0.0,0.0
0.289,0.9333333333333333,0.0,0.0
0.29,0.9333333333333333,0.0,0.0
0.291,0.9333333333333333,0.0,0.0
0.292,0.9333333333333333,0.0,0.0
0.293,0.9333333333333333,0.0,0.0
0.294,0.9333333333333333,0.0,0.0
0.295,0.9333333333333333,0.0,0.0
0.296,0.9333333333333333,0.0,0.0
0.297,0.9333333333333333,0.0,0.0
0.298,0.9333333333333333,0.0,0.0
0.299,0.9333333333333333,0.0,0.0
0.3,0.9333333333333333,0.0,0.0
0.301,0.9333333333333333,0.0,0.0
0.302,0.9333333333333333,0.0,0.0
0.303,0.9333333333333333,0.0,0.0
0.304,0.9333333333333333,0.0,0.0
0.305,0.9333333333333333,0.0,0.0
0.306,0.9333333333333333,0.0,0.0
0.307,0.9333333333333333,0.0,0.0
0.308,0.9333333333333333,0.0,0.0
0.309,0.9333333333333333,0.0,0.0
0.31,0.9333333333333333,0.0,0.0
0.311,0.9333333333333333,0.0,0.0
0.312,0.9333333333333333,0.0,0.0
0.313,0.9333333333333333,0.0,0.0
0.314,0.9333333333333333,0.0,0.0
0.315,0.9333333333333333,0.0,0.0
0.316,0.9333333333333333,0.0,0.0
0.317,0.9333333333333333,0.0,0.0
0.318,0.9333333333333333,0.0,0.0
0.319,0.9333333333333333,0.0,0.0
0.32,0.9333333333333333,0.0,0.0
0.321,0.9333333333333333,0.0,0.0
0.322,0.9333333333333333,0.0,0.0
0.323,0.9333333333333333,0.0,0.0
0.324,0.9333333333333333,0.0,0.0
0.325,0.9333333333333333,0.0,0.0
0.326,0.9333333333333333,0.0,0.0
0.327,0.9333333333333333,0.0,0.0
0.328,0.9333333333333333,0.0,0.0
0.329,0.9333333333333333,0.0,0.0
0.33,0.9333333333333333,0.0,0.0
0.331,0.9333333333333333,0.0,0.0
0.332,0.9333333333333333,0.0,0.0
0.333,0.9333333333333333,0.0,0.0
0.334,0.9333333333333333,0.0,0.0
0.335,0.9333333333333333,0.0,0.0
0.336,0.9333333333333333,0.0,0.0
0.337,0.9333333333333333,0.0,0.0
0.338,0.9333333333333333,0.0,0.0
0.339,0.9333333333333333,0.0,0.0
0.34,0.9333333333333333,0.0,0.0
0.341,0.9333333333333333,0.0,0.0
